       x:             u(x):          v(x):          v_special         RelativeError
      0.0000000      0.0000000      0.0000000      0.0000000            NAN
   0.0099009901    0.084365719    0.084296833    0.084296833     -3.0880368
    0.019801980     0.15984531     0.15971479     0.15971479     -3.0880368
    0.029702970     0.22727644     0.22709086     0.22709086     -3.0880368
    0.039603960     0.28741779     0.28718311     0.28718311     -3.0880368
    0.049504950     0.34095657     0.34067817     0.34067817     -3.0880368
    0.059405941     0.38851515     0.38819792     0.38819792     -3.0880368
    0.069306931     0.43065728     0.43030564     0.43030564     -3.0880368
    0.079207921     0.46789354     0.46751150     0.46751150     -3.0880368
    0.089108911     0.50068639     0.50027757     0.50027757     -3.0880368
    0.099009901     0.52945469     0.52902238     0.52902238     -3.0880368
     0.10891089     0.55457783     0.55412501     0.55412501     -3.0880368
     0.11881188     0.57639941     0.57592878     0.57592878     -3.0880368
     0.12871287     0.59523067     0.59474466     0.59474466     -3.0880368
     0.13861386     0.61135349     0.61085431     0.61085431     -3.0880368
     0.14851485     0.62502319     0.62451285     0.62451285     -3.0880368
     0.15841584     0.63647100     0.63595132     0.63595132     -3.0880368
     0.16831683     0.64590639     0.64537900     0.64537900     -3.0880368
     0.17821782     0.65351905     0.65298545     0.65298545     -3.0880368
     0.18811881     0.65948081     0.65894234     0.65894234     -3.0880368
     0.19801980     0.66394729     0.66340517     0.66340517     -3.0880368
     0.20792079     0.66705944     0.66651478     0.66651478     -3.0880368
     0.21782178     0.66894494     0.66839873     0.66839873     -3.0880368
     0.22772277     0.66971941     0.66917257     0.66917257     -3.0880368
     0.23762376     0.66948758     0.66894094     0.66894094     -3.0880368
     0.24752475     0.66834432     0.66779861     0.66779861     -3.0880368
     0.25742574     0.66637555     0.66583145     0.66583145     -3.0880368
     0.26732673     0.66365908     0.66311719     0.66311719     -3.0880368
     0.27722772     0.66026539     0.65972628     0.65972628     -3.0880368
     0.28712871     0.65625833     0.65572248     0.65572248     -3.0880368
     0.29702970     0.65169571     0.65116359     0.65116359     -3.0880368
     0.30693069     0.64662990     0.64610192     0.64610192     -3.0880368
     0.31683168     0.64110834     0.64058487     0.64058487     -3.0880368
     0.32673267     0.63517400     0.63465537     0.63465537     -3.0880368
     0.33663366     0.62886577     0.62835229     0.62835229     -3.0880368
     0.34653465     0.62221891     0.62171086     0.62171086     -3.0880368
     0.35643564     0.61526534     0.61476296     0.61476296     -3.0880368
     0.36633663     0.60803396     0.60753750     0.60753750     -3.0880368
     0.37623762     0.60055098     0.60006062     0.60006062     -3.0880368
     0.38613861     0.59284010     0.59235604     0.59235604     -3.0880368
     0.39603960     0.58492281     0.58444521     0.58444521     -3.0880368
     0.40594059     0.57681857     0.57634759     0.57634759     -3.0880368
     0.41584158     0.56854499     0.56808077     0.56808077     -3.0880368
     0.42574257     0.56011805     0.55966071     0.55966071     -3.0880368
     0.43564356     0.55155220     0.55110185     0.55110185     -3.0880368
     0.44554455     0.54286053     0.54241728     0.54241728     -3.0880368
     0.45544554     0.53405491     0.53361884     0.53361884     -3.0880368
     0.46534653     0.52514607     0.52471728     0.52471728     -3.0880368
     0.47524752     0.51614374     0.51572231     0.51572231     -3.0880368
     0.48514851     0.50705675     0.50664273     0.50664273     -3.0880368
     0.49504950     0.49789307     0.49748653     0.49748653     -3.0880368
     0.50495050     0.48865992     0.48826093     0.48826093     -3.0880368
     0.51485149     0.47936386     0.47897246     0.47897246     -3.0880368
     0.52475248     0.47001083     0.46962706     0.46962706     -3.0880368
     0.53465347     0.46060617     0.46023008     0.46023008     -3.0880368
     0.54455446     0.45115478     0.45078640     0.45078640     -3.0880368
     0.55445545     0.44166104     0.44130042     0.44130042     -3.0880368
     0.56435644     0.43212896     0.43177612     0.43177612     -3.0880368
     0.57425743     0.42256214     0.42221711     0.42221711     -3.0880368
     0.58415842     0.41296387     0.41262668     0.41262668     -3.0880368
     0.59405941     0.40333710     0.40300777     0.40300777     -3.0880368
     0.60396040     0.39368452     0.39336307     0.39336307     -3.0880368
     0.61386139     0.38400857     0.38369502     0.38369502     -3.0880368
     0.62376238     0.37431145     0.37400582     0.37400582     -3.0880368
     0.63366337     0.36459515     0.36429745     0.36429745     -3.0880368
     0.64356436     0.35486148     0.35457174     0.35457174     -3.0880368
     0.65346535     0.34511209     0.34483030     0.34483030     -3.0880368
     0.66336634     0.33534844     0.33507463     0.33507463     -3.0880368
     0.67326733     0.32557190     0.32530606     0.32530606     -3.0880368
     0.68316832     0.31578366     0.31552582     0.31552582     -3.0880368
     0.69306931     0.30598484     0.30573499     0.30573499     -3.0880368
     0.70297030     0.29617642     0.29593459     0.29593459     -3.0880368
     0.71287129     0.28635933     0.28612551     0.28612551     -3.0880368
     0.72277228     0.27653436     0.27630857     0.27630857     -3.0880368
     0.73267327     0.26670228     0.26648451     0.26648451     -3.0880368
     0.74257426     0.25686374     0.25665400     0.25665400     -3.0880368
     0.75247525     0.24701935     0.24681766     0.24681766     -3.0880368
     0.76237624     0.23716967     0.23697602     0.23697602     -3.0880368
     0.77227723     0.22731520     0.22712960     0.22712960     -3.0880368
     0.78217822     0.21745639     0.21727883     0.21727883     -3.0880368
     0.79207921     0.20759364     0.20742413     0.20742413     -3.0880368
     0.80198020     0.19772733     0.19756588     0.19756588     -3.0880368
     0.81188119     0.18785779     0.18770440     0.18770440     -3.0880368
     0.82178218     0.17798533     0.17784000     0.17784000     -3.0880368
     0.83168317     0.16811022     0.16797296     0.16797296     -3.0880368
     0.84158416     0.15823272     0.15810352     0.15810352     -3.0880368
     0.85148515     0.14835304     0.14823191     0.14823191     -3.0880368
     0.86138614     0.13847140     0.13835833     0.13835833     -3.0880368
     0.87128713     0.12858797     0.12848298     0.12848298     -3.0880368
     0.88118812     0.11870293     0.11860601     0.11860601     -3.0880368
     0.89108911     0.10881643     0.10872758     0.10872758     -3.0880368
     0.90099010    0.098928612    0.098847835    0.098847835     -3.0880368
     0.91089109    0.089039590    0.088966888    0.088966888     -3.0880368
     0.92079208    0.079149482    0.079084856    0.079084856     -3.0880368
     0.93069307    0.069258391    0.069201841    0.069201841     -3.0880368
     0.94059406    0.059366409    0.059317936    0.059317936     -3.0880368
     0.95049505    0.049473621    0.049433225    0.049433225     -3.0880368
     0.96039604    0.039580101    0.039547784    0.039547784     -3.0880368
     0.97029703    0.029685920    0.029661681    0.029661681     -3.0880368
     0.98019802    0.019791139    0.019774979    0.019774979     -3.0880368
     0.99009901   0.0098958155   0.0098877354   0.0098877354     -3.0880368
      1.0000000      0.0000000      0.0000000      0.0000000            NAN
