       x:             u(x):          v(x):          v_special         RelativeError
      0.0000000      0.0000000      0.0000000      0.0000000            NAN
  0.00099900100   0.0089413199   0.0089412456   0.0089412456     -5.0800516
   0.0019980020    0.017783831    0.017783683    0.017783683     -5.0800516
   0.0029970030    0.026528515    0.026528294    0.026528294     -5.0800516
   0.0039960040    0.035176344    0.035176052    0.035176052     -5.0800516
   0.0049950050    0.043728282    0.043727918    0.043727918     -5.0800516
   0.0059940060    0.052185281    0.052184847    0.052184847     -5.0800516
   0.0069930070    0.060548286    0.060547782    0.060547782     -5.0800516
   0.0079920080    0.068818230    0.068817658    0.068817658     -5.0800516
   0.0089910090    0.076996039    0.076995398    0.076995398     -5.0800516
   0.0099900100    0.085082628    0.085081920    0.085081920     -5.0800516
    0.010989011    0.093078904    0.093078130    0.093078130     -5.0800516
    0.011988012     0.10098577     0.10098493     0.10098493     -5.0800516
    0.012987013     0.10880410     0.10880320     0.10880320     -5.0800516
    0.013986014     0.11653479     0.11653382     0.11653382     -5.0800516
    0.014985015     0.12417870     0.12417767     0.12417767     -5.0800516
    0.015984016     0.13173670     0.13173561     0.13173561     -5.0800516
    0.016983017     0.13920965     0.13920849     0.13920849     -5.0800516
    0.017982018     0.14659838     0.14659716     0.14659716     -5.0800516
    0.018981019     0.15390373     0.15390245     0.15390245     -5.0800516
    0.019980020     0.16112654     0.16112520     0.16112520     -5.0800516
    0.020979021     0.16826762     0.16826622     0.16826622     -5.0800516
    0.021978022     0.17532778     0.17532632     0.17532632     -5.0800516
    0.022977023     0.18230784     0.18230632     0.18230632     -5.0800516
    0.023976024     0.18920858     0.18920701     0.18920701     -5.0800516
    0.024975025     0.19603080     0.19602917     0.19602917     -5.0800516
    0.025974026     0.20277527     0.20277358     0.20277358     -5.0800516
    0.026973027     0.20944277     0.20944103     0.20944103     -5.0800516
    0.027972028     0.21603406     0.21603227     0.21603227     -5.0800516
    0.028971029     0.22254991     0.22254806     0.22254806     -5.0800516
    0.029970030     0.22899105     0.22898915     0.22898915     -5.0800516
    0.030969031     0.23535824     0.23535628     0.23535628     -5.0800516
    0.031968032     0.24165221     0.24165020     0.24165020     -5.0800516
    0.032967033     0.24787368     0.24787162     0.24787162     -5.0800516
    0.033966034     0.25402338     0.25402127     0.25402127     -5.0800516
    0.034965035     0.26010203     0.26009986     0.26009986     -5.0800516
    0.035964036     0.26611031     0.26610810     0.26610810     -5.0800516
    0.036963037     0.27204895     0.27204668     0.27204668     -5.0800516
    0.037962038     0.27791862     0.27791631     0.27791631     -5.0800516
    0.038961039     0.28372002     0.28371766     0.28371766     -5.0800516
    0.039960040     0.28945381     0.28945141     0.28945141     -5.0800516
    0.040959041     0.29512069     0.29511823     0.29511823     -5.0800516
    0.041958042     0.30072130     0.30071880     0.30071880     -5.0800516
    0.042957043     0.30625631     0.30625377     0.30625377     -5.0800516
    0.043956044     0.31172638     0.31172378     0.31172378     -5.0800516
    0.044955045     0.31713213     0.31712950     0.31712950     -5.0800516
    0.045954046     0.32247423     0.32247155     0.32247155     -5.0800516
    0.046953047     0.32775329     0.32775056     0.32775056     -5.0800516
    0.047952048     0.33296995     0.33296718     0.33296718     -5.0800516
    0.048951049     0.33812482     0.33812201     0.33812201     -5.0800516
    0.049950050     0.34321852     0.34321567     0.34321567     -5.0800516
    0.050949051     0.34825166     0.34824876     0.34824876     -5.0800516
    0.051948052     0.35322484     0.35322190     0.35322190     -5.0800516
    0.052947053     0.35813865     0.35813567     0.35813567     -5.0800516
    0.053946054     0.36299369     0.36299067     0.36299067     -5.0800516
    0.054945055     0.36779054     0.36778748     0.36778748     -5.0800516
    0.055944056     0.37252977     0.37252667     0.37252667     -5.0800516
    0.056943057     0.37721197     0.37720883     0.37720883     -5.0800516
    0.057942058     0.38183770     0.38183452     0.38183452     -5.0800516
    0.058941059     0.38640751     0.38640430     0.38640430     -5.0800516
    0.059940060     0.39092197     0.39091872     0.39091872     -5.0800516
    0.060939061     0.39538162     0.39537833     0.39537833     -5.0800516
    0.061938062     0.39978702     0.39978369     0.39978369     -5.0800516
    0.062937063     0.40413869     0.40413533     0.40413533     -5.0800516
    0.063936064     0.40843718     0.40843378     0.40843378     -5.0800516
    0.064935065     0.41268301     0.41267957     0.41267957     -5.0800516
    0.065934066     0.41687670     0.41687323     0.41687323     -5.0800516
    0.066933067     0.42101878     0.42101528     0.42101528     -5.0800516
    0.067932068     0.42510975     0.42510622     0.42510622     -5.0800516
    0.068931069     0.42915013     0.42914656     0.42914656     -5.0800516
    0.069930070     0.43314042     0.43313681     0.43313681     -5.0800516
    0.070929071     0.43708111     0.43707747     0.43707747     -5.0800516
    0.071928072     0.44097270     0.44096903     0.44096903     -5.0800516
    0.072927073     0.44481568     0.44481198     0.44481198     -5.0800516
    0.073926074     0.44861052     0.44860679     0.44860679     -5.0800516
    0.074925075     0.45235772     0.45235396     0.45235396     -5.0800516
    0.075924076     0.45605774     0.45605394     0.45605394     -5.0800516
    0.076923077     0.45971105     0.45970722     0.45970722     -5.0800516
    0.077922078     0.46331811     0.46331426     0.46331426     -5.0800516
    0.078921079     0.46687939     0.46687551     0.46687551     -5.0800516
    0.079920080     0.47039534     0.47039142     0.47039142     -5.0800516
    0.080919081     0.47386641     0.47386246     0.47386246     -5.0800516
    0.081918082     0.47729304     0.47728907     0.47728907     -5.0800516
    0.082917083     0.48067569     0.48067169     0.48067169     -5.0800516
    0.083916084     0.48401478     0.48401075     0.48401075     -5.0800516
    0.084915085     0.48731074     0.48730669     0.48730669     -5.0800516
    0.085914086     0.49056402     0.49055994     0.49055994     -5.0800516
    0.086913087     0.49377503     0.49377092     0.49377092     -5.0800516
    0.087912088     0.49694419     0.49694005     0.49694005     -5.0800516
    0.088911089     0.50007191     0.50006776     0.50006776     -5.0800516
    0.089910090     0.50315862     0.50315444     0.50315444     -5.0800516
    0.090909091     0.50620471     0.50620050     0.50620050     -5.0800516
    0.091908092     0.50921060     0.50920637     0.50920637     -5.0800516
    0.092907093     0.51217668     0.51217242     0.51217242     -5.0800516
    0.093906094     0.51510334     0.51509905     0.51509905     -5.0800516
    0.094905095     0.51799098     0.51798667     0.51798667     -5.0800516
    0.095904096     0.52083999     0.52083565     0.52083565     -5.0800516
    0.096903097     0.52365074     0.52364639     0.52364639     -5.0800516
    0.097902098     0.52642363     0.52641925     0.52641925     -5.0800516
    0.098901099     0.52915902     0.52915462     0.52915462     -5.0800516
    0.099900100     0.53185730     0.53185288     0.53185288     -5.0800516
     0.10089910     0.53451882     0.53451438     0.53451438     -5.0800516
     0.10189810     0.53714396     0.53713949     0.53713949     -5.0800516
     0.10289710     0.53973307     0.53972858     0.53972858     -5.0800516
     0.10389610     0.54228651     0.54228200     0.54228200     -5.0800516
     0.10489510     0.54480465     0.54480012     0.54480012     -5.0800516
     0.10589411     0.54728782     0.54728327     0.54728327     -5.0800516
     0.10689311     0.54973638     0.54973181     0.54973181     -5.0800516
     0.10789211     0.55215067     0.55214608     0.55214608     -5.0800516
     0.10889111     0.55453103     0.55452642     0.55452642     -5.0800516
     0.10989011     0.55687780     0.55687317     0.55687317     -5.0800516
     0.11088911     0.55919131     0.55918666     0.55918666     -5.0800516
     0.11188811     0.56147190     0.56146723     0.56146723     -5.0800516
     0.11288711     0.56371989     0.56371520     0.56371520     -5.0800516
     0.11388611     0.56593560     0.56593089     0.56593089     -5.0800516
     0.11488511     0.56811935     0.56811463     0.56811463     -5.0800516
     0.11588412     0.57027147     0.57026673     0.57026673     -5.0800516
     0.11688312     0.57239227     0.57238751     0.57238751     -5.0800516
     0.11788212     0.57448206     0.57447728     0.57447728     -5.0800516
     0.11888112     0.57654114     0.57653634     0.57653634     -5.0800516
